term,definition,mention_count,synonyms,frequency_score,relevance_score,consistency_score,importance_score,remarks
CDN,Content Delivery Network for fast and reliable distribution of packages.,1,[],1,1,2,4,
Container,"A lightweight, standalone, executable package of software that includes everything needed to run it.",1,[],1,1,2,4,
Self-hosted runners,User-managed virtual machines that run workflows.,1,[],1,1,2,4,
Git flow,A branching model for Git that defines a strict branching strategy.,1,[],1,1,2,4,
Agent Mode,"A feature that allows GitHub Copilot to analyze code, propose edits, run tests, and validate results across multiple files.",1,[],1,1,2,4,
Copilot Chat,A communication interface within GitHub Copilot that allows developers to interact with AI models for coding assistance.,1,[],1,1,2,4,
GitHub Actions,A workflow automation tool integrated with GitHub Copilot to run code and deliver ready-to-review pull requests.,1,[],1,1,2,4,
MCP Servers,Servers that GitHub Copilot hooks into to draw on data from repositories and external resources.,1,[],1,1,2,4,
Copilot Spaces,"A feature that organizes context such as code, docs, and notes into one place for tailored AI assistance.",1,[],1,1,2,4,
Code Review,"A feature that analyzes work, uncovers hidden bugs, fixes mistakes, and more before human review.",1,[],1,1,2,4,
GitHub Copilot Enterprise,A plan that provides native integration of GitHub Copilot into GitHub.com with additional organizational features.,1,"['GitHub Copilot Business (GitHub)', 'GitHub Copilot Pro (GitHub)', 'GitHub Copilot Free (GitHub)', 'GitHub Copilot Pro+ (GitHub)']",1,1,1,3,
GitHub Spark,A feature or tool available in the GitHub Copilot Pro+ plan.,1,[],1,1,2,4,
GitHub Mobile,A mobile platform that supports GitHub Copilot for coding assistance on the go.,1,[],1,1,2,4,
GitHub CLI,A command-line interface that supports GitHub Copilot for terminal-based interactions.,1,[],1,1,2,4,
Windows Terminal Canary,A terminal application that integrates with GitHub Copilot for chat functionality.,1,[],1,1,2,4,
Visual Studio Code,An integrated development environment (IDE) that supports GitHub Copilot extensions.,1,"['Visual Studio (GitHub)', 'JetBrains IDEs (GitHub)', 'Neovim (GitHub)', 'Azure Data Studio (GitHub)']",1,1,1,3,
Runner,A server that runs workflows when they are triggered.,1,[],1,1,2,4,
Matrix builds,Simultaneous testing across multiple operating systems and runtime versions.,1,[],1,1,2,4,
Live logs,Real-time logging of workflow execution with color and emoji support.,1,[],1,1,2,4,
Secret store,A secure storage for sensitive information used in workflows.,1,[],1,1,2,4,
Multi-container testing,Testing services and their dependencies using docker-compose in a workflow.,1,[],1,1,2,4,
Event,A specific activity in GitHub that triggers a workflow.,1,[],1,1,2,4,
AI inference,The process of using AI models to make predictions or generate content within Spark.,1,[],1,1,2,4,
